1,Annie,"Brand, Orianna, Morgana","Ahri, Fizz, Akali","Mid, Bottom","Mage, Support",Stay away from her when she has her stun ready.,"Annie's strength as a mage comes from her decent laning phase with Disintegrate allowing her to last-hit without mana problems, and her exceptional AoE damage potential from Incinerate and Summon: Tibbers."
2,Olaf,"Kennen, Kayle, Volibear","Irelia, Riven, Shyvana","Top, Jungle","Tank, Fighter","Don't blow your CC abilities when Olaf activates his ultimate, as he can't be disabled during the duration.","Because of Berserker Rage's effect and Undertow, Olaf is one of the fastest junglers in the league. Undertow allows him to gank effectively, and the combination of Vicious Strikes and Berserker Ragelet him both sustain his health throughout the early game and effectively take on and defeat most other junglers."
3,Galio,"Udyr, Talon, Yasuo","LeBlanc, Cassiopeia, Brand","Mid, Top","Tank, Mage",Don't clump together so Galio won't be able to use Flash and his ultimate to CC your whole team.,"Galio is a tanky mage focused on dealing great AoE damage. His kit is oriented to constantly cast his spells to create an opportunity for an initiation. Despite being a tank, Galio is generally played in the mid lane, building magic resistance against the enemy mage. He can also be played top lane in a standard tank role or bot lane as a tanky support."
4,Twisted Fate,"Fizz, Diana, Ahri","Ryze, Lissandra, Evelynn","Mid, Bottom",Mage,Twisted Fate is vulnerable when his Pick-a-card is on cooldown.,"Due to Wild Cards having one of the highest non-global non-ultimate range in-game, he can harass very well. This makes him a good pick for mid lane. While the projectiles are slow moving, the long range of the cards often catch enemies by surprise. Additionally, the projectiles, unlike many skillshots and pokes, will pass through minions, and even do damage as multiple targets are passed. This disallows opponents from blocking with their waves."
5,Xin Zhao,"Jax, Malphite, Patheon","Vladimir, Jayce, Rumble","Top, Jungle","Fighter, Tank, Assassin",Prevent him from finishing his Three Talon Strikes to deny him a knock-up as well as a cooldown reduction on his abilities.,"Battle Cry's passive heals Xin Zhao every three attacks, allowing him to sustain himself in lane for a while by autoattacking minion waves and turrets. Doing so for extended periods however will push your lane, so watch out for gank attempts."
6,Urgot,"Soraka, Sivir, Nami","Graves, Vayne, Corki","Mid, Top, Bottom","Marksman, Tank",Destroying Urgot's shield will prevent him from applying a slow to his auto attacks and Acid Hunters.,Zaun-Touched Bolt Augmenter is a strong debuff that can save your team from a lot of damage. Apply it liberally to enemy champions when fighting.
7,LeBlanc,"Galio, Diana, Mordekaiser","Ahri, Ziggs, Orianna",Mid,"Assassin, Mage",Buying a Banshee's Veil will significantly cut her damage down!,"Distortion is an effective method of harassment, as re-casting the spell will cause you to flash back to your casting position, giving an opportunity to deal damage with minimal risk of taking significant damage."
8,Vladimir,"Swain, Riven, Irelia","Singed, Shen, Nasus","Top, Mid","Tank, Mage",Vladimir's ultimate can be cured by buying a Quicksilver Sash.,"Level Transfusion to level 5, as it is Vladimir's most constant single target damage ability, as well as his heal. Remember that the base healing component is a flat amount modified by additional ability power, so even if the target is not damaged (i.e. shielded, blocked by Banshee's Veil, or blocked by Kayle's Intervention), you will still be healed by the ability."
9,Fiddlesticks,"Xin Zhao, Diana, Alistar","Katarina, Vladimir, Akali",Jungle,Mage,Using a stun/knock-up/displacement/silence when Fiddlesticks is channeling his ultimate/Drain will stop him completely.,"Fiddlesticks is versatile and can go on a variety of lanes, with the most common one being jungle. Due to Fiddlestick's sustain with Drain, he is one of the few junglers who don't have to worry at all with being at such low HP at the first clear, that they have to go back to base instead of ganking. In fact, this combined with Terrify makes Fiddlesticks one of the best level 1-3 gankers; he can even gank at level 2 just after taking blue if he decides to level up Terrify instead of Dark Wind."
10,Kayle,"Patheon, Anivia, Annie","Zed, Darius, Fizz","Mid, Top","Fighter, Support","A target that's ulted by Kayle can still be CC'd, so you can still trap them until the Intervention duration wears off.","Reckoning is powerful even at lower levels and Kayle can utilize this advantageous ability to dominate her opponents in early game; caution should be taken in its use, however, as it is a mana-costly spell to use repeatedly."
